Version,Timestamp,Score,MaxTile,TimeSpent,TurnsPerSecond,TurnsTotal,Down %,Right %,Up %,Left %,Garden,Note
0.1.6,16May2014 19:26:46,15620,1024,05:28,2.82,924,0.1,25.9,47.1,26.9,[32 1024 2 256 - 16 32 512 32 - 8 16 64 2 - 2 4 2 8],tim's build
0.1.6,16May2014 19:30:11,7844,512,03:24,2.71,553,0.4,21.5,48.5,29.7,[128 2 512 128 - 8 256 64 8 - 32 16 4 2 - 4 2 8 4],tim's build
0.1.6,16May2014 19:36:20,16720,1024,06:08,2.73,1006,0.2,27.5,47.8,24.5,[1024 2 256 128 - 32 512 128 16 - 8 16 32 8 - 2 8 4 2],tim's build
0.1.6,16May2014 19:39:17,5704,256,02:56,2.61,459,0.2,28.1,44.7,27.0,[32 64 256 64 - 4 256 128 32 - 16 64 32 8 - 2 4 8 16],tim's build
0.1.6,16May2014 19:42:18,7464,512,03:01,2.86,517,0.2,22.4,49.1,28.2,[512 2 128 64 - 16 256 64 32 - 8 32 16 4 - 2 4 8 2],tim's build
0.1.6,16May2014 19:47:21,14368,1024,05:01,2.76,831,0.1,23.2,46.9,29.7,[1024 512 128 16 - 16 64 16 8 - 8 32 2 4 - 2 4 8 2],tim's build
0.1.6,16May2014 19:55:32,24916,2048,08:10,2.62,1285,0.3,23.9,47.5,28.2,[256 2 256 128 - 32 2048 64 16 - 8 32 8 4 - 4 2 4 2],tim's build
0.1.6,16May2014 19:58:47,7228,512,03:14,2.63,511,0.4,23.7,45.8,30.1,[64 2 64 4 - 32 256 512 64 - 8 64 16 4 - 2 4 8 2],tim's build
0.1.6,16May2014 20:02:39,7876,512,03:51,2.35,544,0.0,25.6,46.3,28.1,[8 128 256 512 - 2 64 128 32 - 32 16 2 8 - 2 4 8 4],tim's build
0.1.6,16May2014 20:07:55,12560,1024,05:15,2.4,755,0.1,25.6,47.7,26.6,[1024 256 2 64 - 32 64 128 32 - 8 16 32 4 - 2 4 8 2],tim's build
